frame,left_ankle_x,right_ankle_x,left_knee_x,right_knee_x,left_hip_x,right_hip_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,center_of_gravity_x,left_ankle_y,right_ankle_y,left_knee_y,right_knee_y,left_hip_y,right_hip_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,center_of_gravity_y,vel_left_ankle,vel_right_ankle,vel_left_knee,vel_right_knee,vel_left_hip,vel_right_hip,vel_left_shoulder,vel_right_shoulder,vel_left_elbow,vel_right_elbow,vel_left_wrist,vel_right_wrist,vel_center_of_gravity,acc_left_ankle,acc_right_ankle,acc_left_knee,acc_right_knee,acc_left_hip,acc_right_hip,acc_left_shoulder,acc_right_shoulder,acc_left_elbow,acc_right_elbow,acc_left_wrist,acc_right_wrist,acc_center_of_gravity
0,0.44452667236328125,0.16925781965255737,0.3332870900630951,0.17654705047607422,0.4422951340675354,0.31892532110214233,0.346733421087265,0.3337443470954895,0.43815702199935913,0.48588091135025024,0.36652714014053345,0.4946284890174866,0.4691981375217438,0.7358402907848358,0.35133084654808044,0.7419077754020691,0.5366707444190979,0.6805480122566223,0.2934669554233551,0.6791267693042755,0.6063389182090759,0.6646267473697662,0.20693595707416534,0.632491946220398,0.4086706042289734,0.819828599691391,0.0011493896923813057,0.00016415786030551756,0.002439330223478395,0.0017900128057219493,0.0017965072412183482,0.0014569290173494958,0.0008041580723864093,0.002999636567412845,0.0002567884193991809,0.008241657008392685,0.013048426751570459,0.031107673569470147,0.0012119465434119584,-0.0003475005665736977,2.0556510715732615e-05,0.00017962475493034803,-0.0007082002939132214,-0.0006842672151029597,-0.0008386358672910599,-0.0002801393216662427,-0.0016909923194317873,6.790883157260438e-06,-0.005515065686312878,-0.009213136252545114,-0.025267918812605546,-0.0005449200707976449
1,0.44449907541275024,0.1681087613105774,0.33323127031326294,0.17670142650604248,0.4436737895011902,0.3169129490852356,0.3468796908855438,0.3319603204727173,0.43984660506248474,0.4852703809738159,0.3678743243217468,0.494073748588562,0.47000226378440857,0.7358331382274628,0.35226762294769287,0.7390581667423248,0.5364140868186951,0.6805398166179657,0.2968481481075287,0.6716106235980988,0.5980514287948608,0.6545481085777283,0.22145839035511017,0.6049821972846985,0.40988144278526306,0.81977678835392,0.000801889125807608,0.00018471437102125017,0.002618954978408743,0.001081812511808728,0.0011122400261153885,0.0006182931500584358,0.0005240187507201666,0.0013086442479810576,0.00026357930255644133,0.0027265913220798073,0.0038352904990253452,0.0058397547568646005,0.0006670264726143135,-0.000405514929559128,1.4219012903095768e-05,-0.0006902899843482535,-0.00021354014490573424,3.302865264841865e-05,0.00021082193344248155,-0.0002287584778076087,-0.000618009641974389,0.0003328983666503616,-0.0015213080943464402,-0.0019860239195080695,-0.0038367395217807783,-0.00022998204797424447
2,0.4444762170314789,0.16730719804763794,0.3331465721130371,0.17653727531433105,0.4448976516723633,0.31459754705429077,0.34693390130996704,0.3308798670768738,0.4407278895378113,0.48459184169769287,0.3683064579963684,0.4936315417289734,0.4705262780189514,0.7358353137969971,0.35305196046829224,0.7380106151103973,0.5361505150794983,0.6805418133735657,0.2986566722393036,0.6695701479911804,0.5956916809082031,0.651524692773819,0.22580735385417938,0.6010848581790924,0.41039854288101196,0.8201981335878372,0.00039637419624848,0.00019893338392434594,0.0019286649940604896,0.0008682723669029937,0.0011452686787638072,0.0008291150835009174,0.0002952602729125579,0.0006906346060066686,0.0005964776692068029,0.001205283227733367,0.0018492665795172755,0.002003015235083822,0.000437044424640069,-0.0003379234004375765,-2.2577590350389963e-05,-0.0008444705368627888,0.003408521709466105,0.0011401366219152941,0.0011927600988204227,0.0017998903256525585,0.0049435263215056565,0.008206807951037735,0.025939441853078695,0.01613563893282168,0.04145951910845927,0.0012162238798334325
3,0.44429612159729004,0.16695410013198853,0.3329559564590454,0.17648035287857056,0.44529739022254944,0.3127107620239258,0.3469630181789398,0.33001208305358887,0.44148749113082886,0.48373472690582275,0.36868613958358765,0.4928944706916809,0.4708164632320404,0.7358898222446442,0.3535600006580353,0.7375427782535553,0.535554826259613,0.6805724799633026,0.2997525930404663,0.6690684854984283,0.5953059196472168,0.6497161090373993,0.22769758105278015,0.600422203540802,0.41063565015792847,0.8205652683973312,5.845079581090348e-05,0.00017635579357395598,0.0010841944571977008,0.004276794076369099,0.0022854053006791013,0.00202187518232134,0.0020951505985651164,0.005634160927512325,0.008803285620244537,0.027144725080812063,0.017984905512338955,0.043462534343543094,0.0016532683044735016,3.487342918024204e-05,-4.539514434007808e-06,-0.000751786630272388,-0.0015211335733190789,-0.001704899739900061,-0.0012311585853694833,-0.0008535804590217341,-0.0033657217008881165,-0.005963993541740266,-0.02150704457734661,-0.013098936137635252,-0.03700720834233695,-0.0005918729018635311
4,0.4442647099494934,0.16690480709075928,0.33288517594337463,0.17664188146591187,0.44636693596839905,0.31288838386535645,0.3465213179588318,0.3342660069465637,0.44343385100364685,0.4825369119644165,0.37068963050842285,0.492622435092926,0.4728361666202545,0.7353326380252838,0.3550158143043518,0.7320999503135681,0.5363783240318298,0.6718077957630157,0.30858924984931946,0.6434023678302765,0.5875905752182007,0.6334701776504517,0.254638671875,0.5663169324398041,0.4102095663547516,0.8189678490161896,9.332422499114552e-05,0.00017181627913994817,0.00033240782692531273,0.00275566050305002,0.0005805055607790402,0.0007907165969518567,0.0012415701395433823,0.0022684392266242082,0.002839292078504271,0.005637680503465451,0.0048859693747037025,0.0064553260012061445,0.0010613954026099705,8.414861483675606e-05,1.024605954218658e-05,-0.00022668178327312605,-0.0016881769216710247,0.0001801106634079575,-0.00017201982933780886,-0.00035703782108053054,-0.00026705997284991005,-0.001986535428454463,-0.0028763238382229594,-0.0027682244156691255,-0.005062764214137052,0.0007698211899200211
5,0.4441917836666107,0.16684657335281372,0.3327406942844391,0.17673486471176147,0.4466838836669922,0.3129885792732239,0.3463953733444214,0.33701878786087036,0.44389134645462036,0.48217958211898804,0.37147706747055054,0.49255049228668213,0.473957359790802,0.734799325466156,0.3560042083263397,0.7300581634044647,0.5366614460945129,0.6689826548099518,0.3114590048789978,0.6385497450828552,0.5852236747741699,0.6291957795619965,0.2587672770023346,0.5613544881343842,0.40960532426834106,0.8180952370166779,0.00017747283982790158,0.00018206233868213475,0.00010572604365218668,0.0010674835813789954,0.0007606162241869977,0.0006186967676140478,0.0008845323184628517,0.002001379253774298,0.0008527566500498081,0.0027613566652424913,0.002117744959034577,0.0013925617870690927,0.0018312165925299915,0.000358901873927717,0.0005327480555029732,0.0003479845162932631,0.008209447688477773,0.0005507052617972508,-0.00047122609501444997,-0.00011628438187578243,-0.0014965907493737526,0.004516214287005266,0.010412283710946223,0.022961012102662867,0.027364318468193316,0.0024456726380178402
6,0.444014310836792,0.1668466329574585,0.3326675295829773,0.17690157890319824,0.44662198424339294,0.3130742907524109,0.34625962376594543,0.3380776047706604,0.4438233971595764,0.4814220070838928,0.3716959059238434,0.49197179079055786,0.4744953513145447,0.7340972125530243,0.35674211382865906,0.7281977832317352,0.536881685256958,0.6681588292121887,0.3123181462287903,0.6359254419803619,0.5839443802833557,0.6275081038475037,0.2589188516139984,0.5599702000617981,0.4080301821231842,0.8171612769365311,0.0005363747137556186,0.0007148103941851079,0.0004537105599454498,0.00927693126985677,0.0013113214859842486,0.00014747067259959784,0.0007682479365870693,0.0005047885044005457,0.005368970937055074,0.013173640376188714,0.025078757061697442,0.028756880255262407,0.0042768892305478316,-0.0004100630170823211,-6.652935589867605e-05,-0.00032795425137289525,-0.0053114580970074045,-0.0009305508173721989,-4.249495851468455e-05,-0.0001648424465729401,-0.000274499790270295,-0.0030802832954465458,-0.011061844383228533,-0.02074851441809042,-0.025140405791232768,-0.0023396623467079563
7,0.4438900351524353,0.16632485389709473,0.33258432149887085,0.17619162797927856,0.4466220438480377,0.3126205801963806,0.34440234303474426,0.3471667170524597,0.4439007639884949,0.4801129698753357,0.37154844403266907,0.4919734001159668,0.4742881655693054,0.734836995601654,0.35700148344039917,0.7277647256851196,0.5328993797302246,0.6645578444004059,0.31526002287864685,0.6230844855308533,0.565828800201416,0.6101653873920441,0.27738216519355774,0.5379233360290527,0.4037662446498871,0.8174938708543777,0.0001263116966732975,0.0006482810382864319,0.00012575630857255456,0.003965473172849365,0.0003807706686120496,0.00010497571408491329,0.0006034054900141292,0.0002302887141302507,0.002288687641608528,0.0021117959929601803,0.004330242643607022,0.003616474464029638,0.0019372268838398752,-0.0001083183979888125,-0.00021671903690567576,-2.6989483231112265e-05,-0.0030188361259176327,-0.0001689694737618049,5.1513190404417594e-05,-0.00021386811801398658,-9.807061765154285e-05,-0.001020777587509996,-0.0016551488756219365,-0.0022919778530442925,-0.0029019061583048476,-0.0010679755317403524
8,0.44383421540260315,0.1662115454673767,0.33251336216926575,0.17554724216461182,0.44673219323158264,0.31268125772476196,0.3435308337211609,0.3510352373123169,0.444152295589447,0.4798271059989929,0.37146443128585815,0.4920363426208496,0.47411075234413147,0.7354137301445007,0.35718590021133423,0.7276268005371094,0.5312156677246094,0.6630076169967651,0.31620320677757263,0.6211950182914734,0.5636049509048462,0.6064498126506805,0.2798123359680176,0.5352450609207153,0.4018373489379883,0.8176733404397964,1.7993298684485e-05,0.0004315620013807561,9.87668253414423e-05,0.0009466370469317323,0.00021180119485024473,0.00015648890448933088,0.0003895373720001426,0.00013221809647870784,0.0012679100540985322,0.00045664711733824396,0.002038264790562729,0.0007145683057247903,0.0008692513520995229,0.00036192517935602306,0.004055216703761638,0.003389791693937876,0.00594507870996639,0.003221951575142232,0.003218169440141159,0.004566182378881874,0.0025521609086715464,0.016016027461561135,0.006850498172582994,0.06032111177593922,0.02157496921000713,0.006945803210789844
9,0.44381627440452576,0.16621017456054688,0.332430899143219,0.17512363195419312,0.4468054175376892,0.3127475380897522,0.3430417478084564,0.35184574127197266,0.4442691206932068,0.47965043783187866,0.37131261825561523,0.49207431077957153,0.47397980093955994,0.7357805967330933,0.3573036789894104,0.7275667190551758,0.5301103591918945,0.662386417388916,0.3166598379611969,0.621198832988739,0.5630676746368408,0.6044836342334747,0.2805234491825104,0.5353152453899384,0.40096908807754517,0.8177148252725601,0.0003799184780405081,0.004486778705142394,0.0034885585192793184,0.006891715756898122,0.0034337527699924764,0.00337465834463049,0.004955719750882017,0.002684379005150254,0.017283937515659667,0.007307145289921238,0.06235937656650195,0.02228953751573192,0.007815054562889367,-0.0003443247221073581,-0.0023735656119508813,-0.0017584914921626538,-0.0027952914029028718,-0.0013279235676450876,-0.0012976646425446625,-0.0027005675456319884,-0.0011505507378033613,-0.012837082432193012,-0.005516882542987661,-0.053546677550226914,-0.0192903685498105,-0.00543141028699262
